,belief_idx,state_idx,help_config_idx_local,value_diff
0,0,0,0,1.1694691733432294
1,0,0,1,0.9720365983700869
2,0,0,2,-0.024295942481519894
3,0,0,3,1.0158077057902584
4,0,0,4,-0.06436919967443955
5,0,0,5,-0.9976680231466996
6,0,1,0,0.9836006285707448
7,0,1,1,1.981583699953816
8,0,1,2,1.0239068661532356
9,0,1,3,1.980898548911493
10,0,1,4,0.9801841927787356
11,0,1,5,0.0032443723019119908
12,0,2,0,-0.10913455667224858
13,0,2,1,0.9416234956613092
14,0,2,2,0.9415392467620303
15,0,2,3,1.98391426001267
16,0,2,4,1.9472418864896617
17,0,2,5,-0.05127488133473712
18,0,3,0,0.9817788485134518
19,0,3,1,0.9767002014288222
20,0,3,2,1.030665799892419
21,0,3,3,0.025066822378784437
22,0,3,4,0.9879348290156282
23,0,3,5,0.042870679335186956
24,0,4,0,0.9474060850981584
25,0,4,1,1.9440600041655736
26,0,4,2,1.9440420936733798
27,0,4,3,0.01097913280731877
28,0,4,4,0.9945714492633034
29,0,4,5,-0.12617265372355557
30,1,0,0,0.8667774399701518
31,1,0,1,2.9534944313773113
32,1,0,2,1.957805116048727
33,1,0,3,2.009208204969738
34,1,0,4,1.903959406500236
35,1,0,5,2.9280661111126505
36,1,1,0,1.0342742294416862
37,1,1,1,0.9924558080658665
38,1,1,2,-1.0578786913497633
39,1,1,3,-0.018420271052260517
40,1,1,4,0.9967925610699784
41,1,1,5,0.03619688725546788
42,1,2,0,1.983106863758394
43,1,2,1,0.9349508103514855
44,1,2,2,0.9956243977373255
45,1,2,3,-0.010766659436339587
46,1,2,4,1.9271373709219737
47,1,2,5,0.0003790011483550959
48,1,3,0,0.9905032703047995
49,1,3,1,2.941787799916215
50,1,3,2,0.906027371911943
51,1,3,3,1.9389388767306643
52,1,3,4,2.945467304721616
53,1,3,5,0.962817158133845
54,1,4,0,-0.974791791850272
55,1,4,1,1.012884704589729
56,1,4,2,-0.029215723607826982
57,1,4,3,1.011018852679841
58,1,4,4,-0.049493168877188465
59,1,4,5,-0.05855444477671057
