,belief_idx,help_config_idx_local,mean,std
0,0,0,1.935372072675186,0.7722121660440959
1,0,1,2.942201602213918,1.560790729493473
2,0,2,1.5288751886838285,0.9409294315489476
3,0,3,2.0141168664618965,1.6143874423258773
4,0,4,1.819110358640159,0.8834987860044796
5,0,5,0.3302849975834651,0.8572742212010225
6,1,0,2.020307995623809,1.5323655976156891
7,1,1,1.3624690248616385,1.0838181124829431
8,1,2,1.0251989228593021,1.2209338332944617
9,1,3,1.1943342483495418,1.6275753092342227
10,1,4,1.3609672772792607,1.6121380977841244
11,1,5,0.613793377159805,1.7276401422748708
